Order=(3, 1, 6), Seed=50, Evidence=1919.5705833863049, Error=0.5711618322670033, V=1.0, MaxLogL=1977.125, BIC=-3859.816691107219, D0Occam=-7.957601391536066, NetPriorVolume=-7.957601391536066
Order=(3, 1, 7), Seed=50, Evidence=1914.9739952135137, Error=0.5360853302684235, V=1.0, MaxLogL=1976.7918701171875, BIC=-3852.4051949921095, D0Occam=-10.203850993398493, NetPriorVolume=-10.203850993398493
Order=(4, 1, 0), Seed=50, Evidence=1919.0217048709285, Error=0.5666151557917369, V=1.0, MaxLogL=1977.1812744140625, BIC=-3886.9101853332813, D0Occam=-10.49275067919388, NetPriorVolume=-10.49275067919388
Order=(4, 1, 1), Seed=50, Evidence=1923.965501705735, Error=0.4668397160131496, V=1.0, MaxLogL=1976.214599609375, BIC=-3878.231599374422, D0Occam=-7.829296070574932, NetPriorVolume=-7.829296070574932
Order=(4, 1, 2), Seed=50, Evidence=1918.8266952787903, Error=0.4777160617446637, V=1.0, MaxLogL=1979.929443359375, BIC=-3878.9160505249374, D0Occam=-7.007936231196137, NetPriorVolume=-7.007936231196137
Order=(4, 1, 3), Seed=50, Evidence=1922.655549982791, Error=0.4722210815044194, V=1.0, MaxLogL=1973.639892578125, BIC=-3859.5917126129534, D0Occam=-10.83726604475109, NetPriorVolume=-10.83726604475109
Order=(4, 1, 4), Seed=50, Evidence=1925.8032368903966, Error=0.5069638474099736, V=1.0, MaxLogL=1976.5255126953125, BIC=-3858.617716497844, D0Occam=-8.124777876936879, NetPriorVolume=-8.124777876936879
Order=(4, 1, 5), Seed=50, Evidence=1915.6741263871818, Error=0.5895315301589772, V=1.0, MaxLogL=1978.2432861328125, BIC=-3855.3080270233595, D0Occam=-10.719783116891433, NetPriorVolume=-10.719783116891433
Order=(4, 1, 6), Seed=50, Evidence=1918.56784533927, Error=0.5431453240794621, V=1.0, MaxLogL=1976.2384033203125, BIC=-3844.553025048875, D0Occam=-11.578855221821552, NetPriorVolume=-11.578855221821552
Order=(4, 1, 7), Seed=50, Evidence=1913.7840318819844, Error=0.49713507378035404, V=1.0, MaxLogL=1979.05615234375, BIC=-3843.443286746266, D0Occam=-10.237103006827194, NetPriorVolume=-10.237103006827194
Order=(5, 1, 0), Seed=50, Evidence=1901.4598565523768, Error=0.650572169597777, V=1.0, MaxLogL=1984.83740234375, BIC=-3888.7319684936874, D0Occam=-9.80861894792428, NetPriorVolume=-9.80861894792428
Order=(5, 1, 1), Seed=50, Evidence=1907.2168189832757, Error=0.6162460345949567, V=1.0, MaxLogL=1977.587646484375, BIC=-3867.4872204254534, D0Occam=-12.357773631541274, NetPriorVolume=-12.357773631541274
Order=(5, 1, 2), Seed=50, Evidence=1909.8656552859588, Error=0.5679802906606916, V=1.0, MaxLogL=1982.9461669921875, BIC=-3871.459025091594, D0Occam=-10.447363669456642, NetPriorVolume=-10.447363669456642
Order=(5, 1, 3), Seed=50, Evidence=1924.9456805159787, Error=0.4708351803924783, V=1.0, MaxLogL=1986.1217041015625, BIC=-3871.0648629608595, D0Occam=-15.768045301361648, NetPriorVolume=-15.768045301361648
Order=(5, 1, 4), Seed=50, Evidence=1914.1236303627386, Error=0.565346233283274, V=1.0, MaxLogL=1978.5953369140625, BIC=-3849.266892236375, D0Occam=-12.582036965330431, NetPriorVolume=-12.582036965330431
Order=(5, 1, 5), Seed=50, Evidence=1922.2066888748805, Error=0.5890821544227335, V=1.0, MaxLogL=1983.9691162109375, BIC=-3853.269214480641, D0Occam=-9.86665408104501, NetPriorVolume=-9.86665408104501
Order=(5, 1, 6), Seed=50, Evidence=1917.0309534511157, Error=0.49875686104516503, V=1.0, MaxLogL=1980.361572265625, BIC=-3839.3088902405316, D0Occam=-11.684953288286534, NetPriorVolume=-11.684953288286534
Order=(5, 1, 7), Seed=50, Evidence=1915.0124749978509, Error=0.5306486211701944, V=1.0, MaxLogL=1978.787109375, BIC=-3829.414728109797, D0Occam=-11.209187138165221, NetPriorVolume=-11.209187138165221
Order=(6, 1, 0), Seed=50, Evidence=1882.4933851463852, Error=0.7552021774079519, V=1.0, MaxLogL=1985.1624755859375, BIC=-3875.891642279094, D0Occam=-14.214281453341961, NetPriorVolume=-14.214281453341961
Order=(6, 1, 1), Seed=50, Evidence=1914.5108746470714, Error=0.5993574181783229, V=1.0, MaxLogL=1984.389892578125, BIC=-3867.6012399139845, D0Occam=-11.466570670043895, NetPriorVolume=-11.466570670043895
Order=(6, 1, 2), Seed=50, Evidence=1920.5540271275515, Error=0.6095280647950169, V=1.0, MaxLogL=1981.185546875, BIC=-3854.44731215825, D0Occam=-13.340371800754657, NetPriorVolume=-13.340371800754657
Order=(6, 1, 3), Seed=50, Evidence=1917.031221372703, Error=0.5859812902554945, V=1.0, MaxLogL=1984.17431640625, BIC=-3853.679614871266, D0Occam=-13.111650271531067, NetPriorVolume=-13.111650271531067
Order=(6, 1, 4), Seed=50, Evidence=1915.5905861934402, Error=0.5150146505227139, V=1.0, MaxLogL=1980.362548828125, BIC=-3839.3108433655316, D0Occam=-14.85237479924616, NetPriorVolume=-14.85237479924616
Order=(6, 1, 5), Seed=50, Evidence=1912.1796539476961, Error=0.5962523648387404, V=1.0, MaxLogL=1980.127685546875, BIC=-3832.095880453547, D0Occam=-14.078589337102077, NetPriorVolume=-14.078589337102077
Order=(6, 1, 6), Seed=50, Evidence=1918.355936870435, Error=0.48344525850486514, V=1.0, MaxLogL=1981.958251953125, BIC=-3829.0117769165627, D0Occam=-12.683529219264127, NetPriorVolume=-12.683529219264127
Order=(6, 1, 7), Seed=50, Evidence=1912.333506613356, Error=0.5802615375934627, V=1.0, MaxLogL=1984.6632080078125, BIC=-3827.676452676453, D0Occam=-12.128524084331138, NetPriorVolume=-12.128524084331138
