Order=(4, 0, 2), Seed=33, Evidence=-656.6272109481162, Error=0.3570505354243753, V=1.0, MaxLogL=-626.5833740234375, BIC=1326.4777190400473, D0Occam=-2.971092065916401, NetPriorVolume=-2.971092065916401, Posterior=-7.402591297234949
Order=(4, 0, 3), Seed=33, Evidence=-658.5114108272547, Error=0.37969607207498646, V=1.0, MaxLogL=-626.437255859375, BIC=1332.2947302946868, D0Occam=-3.8077723583624272, NetPriorVolume=-3.8077723583624272, Posterior=-9.286791176373526
Order=(4, 0, 4), Seed=33, Evidence=-660.1314837757872, Error=0.38512157536763764, V=1.0, MaxLogL=-626.0142211914062, BIC=1337.5579085415136, D0Occam=-3.7579102336160033, NetPriorVolume=-3.7579102336160033, Posterior=-10.906864124905951
Order=(4, 0, 5), Seed=33, Evidence=-663.1988960725334, Error=0.4156150706616575, V=1.0, MaxLogL=-624.2869262695312, BIC=1340.2125662805279, D0Occam=-3.5820277822496456, NetPriorVolume=-3.5820277822496456, Posterior=-13.974276421652235
Order=(5, 0, 0), Seed=33, Evidence=-658.5878904834719, Error=0.4017065176556023, V=1.0, MaxLogL=-628.2440795898438, BIC=1329.7991301728598, D0Occam=-3.2374303941275504, NetPriorVolume=-3.2374303941275504, Posterior=-9.363270832590729
Order=(5, 0, 1), Seed=33, Evidence=-659.6668408418875, Error=0.3896292172596291, V=1.0, MaxLogL=-628.2369995117188, BIC=1335.8942175993743, D0Occam=-3.571973214889121, NetPriorVolume=-3.571973214889121, Posterior=-10.442221191006297
Order=(5, 0, 2), Seed=33, Evidence=-658.8657281809069, Error=0.41358844998625255, V=1.0, MaxLogL=-626.1796264648438, BIC=1337.8887190883886, D0Occam=-3.489470902158128, NetPriorVolume=-3.489470902158128, Posterior=-9.64110853002569
Order=(5, 0, 3), Seed=33, Evidence=-661.3035367131757, Error=0.36591500530279725, V=1.0, MaxLogL=-625.1771240234375, BIC=1341.9929617883404, D0Occam=-3.925289114909401, NetPriorVolume=-3.925289114909401, Posterior=-12.078917062294522
Order=(5, 0, 4), Seed=33, Evidence=-663.2717283916512, Error=0.44251454606883023, V=1.0, MaxLogL=-625.1697387695312, BIC=1348.0874388632924, D0Occam=-4.556964184963785, NetPriorVolume=-4.556964184963785, Posterior=-14.04710874077
Order=(5, 0, 5), Seed=33, Evidence=-664.9355415389484, Error=0.44895060444148666, V=1.0, MaxLogL=-624.392578125, BIC=1352.6423651569942, D0Occam=-4.558147601356025, NetPriorVolume=-4.558147601356025, Posterior=-15.710921888067219
