Order=(2, 0, 4), Seed=25, Evidence=-1070.7171268077523, Error=0.22279606748319458, V=1.0, MaxLogL=-1044.19482421875, BIC=2143.8022838890843, D0Occam=-1.9860253133558043, NetPriorVolume=-1.9860253133558043, Posterior=-7.80588797039627
Order=(2, 0, 5), Seed=25, Evidence=-1072.1977790223978, Error=0.209902302054622, V=1.0, MaxLogL=-1043.072509765625, BIC=2147.0989185279927, D0Occam=-2.091296048388231, NetPriorVolume=-2.091296048388231, Posterior=-9.286540185041758
Order=(2, 0, 6), Seed=25, Evidence=-1073.2975078335378, Error=0.23574061125956167, V=1.0, MaxLogL=-1040.4566650390625, BIC=2147.408492620026, D0Occam=-2.158815317841248, NetPriorVolume=-2.158815317841248, Posterior=-10.386268996181798
Order=(2, 0, 7), Seed=25, Evidence=-1075.1215192995544, Error=0.25097550895973436, V=1.0, MaxLogL=-1040.5108642578125, BIC=2153.0581546026847, D0Occam=-2.08458081905236, NetPriorVolume=-2.08458081905236, Posterior=-12.210280462198398
Order=(2, 0, 8), Seed=25, Evidence=-1075.753127159773, Error=0.2527550243517382, V=1.0, MaxLogL=-1038.0469970703125, BIC=2153.671683772843, D0Occam=-2.1931669174117165, NetPriorVolume=-2.1931669174117165, Posterior=-12.841888322416935
Order=(2, 0, 9), Seed=25, Evidence=-1070.7936660343262, Error=0.2692747073739602, V=1.0, MaxLogL=-1032.873046875, BIC=2148.865046927376, D0Occam=-2.1115179659186425, NetPriorVolume=-2.1115179659186425, Posterior=-7.882427196970184
Order=(2, 0, 10), Seed=25, Evidence=-1072.7134933346777, Error=0.2760482129542347, V=1.0, MaxLogL=-1032.8399658203125, BIC=2154.3401483631596, D0Occam=-2.0171294232918773, NetPriorVolume=-2.0171294232918773, Posterior=-9.802254497321655
Order=(3, 0, 0), Seed=25, Evidence=-1068.9956680572752, Error=0.18898593189898105, V=1.0, MaxLogL=-1051.7520751953125, BIC=2147.8342587518923, D0Occam=-1.5580123376281445, NetPriorVolume=-1.5580123376281445, Posterior=-6.08442921991923
Order=(3, 0, 1), Seed=25, Evidence=-1068.9112932630971, Error=0.1756887176972285, V=1.0, MaxLogL=-1050.4932861328125, BIC=2150.857944172051, D0Occam=-1.6937062032991095, NetPriorVolume=-1.6937062032991095, Posterior=-6.000054425741155
Order=(3, 0, 2), Seed=25, Evidence=-1068.0640187793692, Error=0.22284017143813628, V=1.0, MaxLogL=-1040.7379150390625, BIC=2136.8884655297093, D0Occam=-2.7010065478969016, NetPriorVolume=-2.7010065478969016, Posterior=-5.15277994201324
