,,phi_1,theta_1,sigma,mu,init_y_1,logL,logL_birth,nlive
labels,,$\phi_1$,$\theta_1$,$\sigma$,$\mu$,$y_1$,$\ln\mathcal{L}$,$\ln\mathcal{L}_\mathrm{birth}$,$n_\mathrm{live}$
,weights,,,,,,,,
61,0.0,0.3946072,-0.74963456,5.7623587,1.3350674,1.0526065,-2.1708619e+08,,489
62,0.0,-0.3041507,-0.49637735,7.972206,1.712319,0.63387823,-2.1453829e+08,,488
63,0.0,-0.4887272,-0.36143354,9.323028,2.2063706,1.0105404,-2.1125197e+08,,487
64,0.0,0.6769263,-0.74558866,7.222786,3.0901506,2.6753693,-2.0469078e+08,-3.47365e+08,486
65,0.0,-0.14194404,-0.39187148,6.455591,1.8503878,1.0137289,-2.0104445e+08,-3.47365e+08,485
66,0.0,0.22871214,-0.72640896,3.6936135,0.701748,1.8319483,-1.9863504e+08,-3.47365e+08,484
67,0.0,-0.102220334,-0.69089586,6.236369,0.87157625,1.8777133,-1.717922e+08,,483
68,0.0,0.13496345,-0.46457443,8.279936,2.398262,2.75845,-1.5197677e+08,,482
69,0.0,0.6000213,-0.675144,2.6516678,0.96670115,0.95020986,-1.3984682e+08,-3.47365e+08,481
70,0.0,0.48541006,-0.63168985,6.737813,-2.1358068,0.8560299,-1.3577954e+08,,480
71,0.0,-0.4848048,0.016361134,13.696028,4.112201,1.6146028,-1.3367348e+08,,479
72,0.0,0.04128868,-0.6040277,6.980207,1.2614213,0.49341643,-1.3265497e+08,,478
73,0.0,0.4418795,-0.63438976,6.7144303,1.9132408,2.2237506,-1.3128132e+08,,477
74,0.0,0.2590625,-0.45194045,8.404018,2.678434,1.2398775,-1.28850696e+08,,476
75,0.0,-0.13672243,-0.71092534,6.0721035,-0.6601414,-0.59739876,-1.26410104e+08,,475
76,0.0,-0.19112417,-0.3382429,9.566895,2.2409704,1.754538,-1.2338413e+08,,474
77,0.0,-0.60958946,-0.0927292,13.442566,3.1639612,2.0892773,-1.2108835e+08,-3.47365e+08,473
78,0.0,-0.33170035,-0.44066715,12.269361,2.1408381,0.67770255,-1.1973563e+08,-3.47365e+08,472
79,0.0,-0.28261083,-0.33289948,9.623564,2.0142372,-0.52677864,-1.1244162e+08,,471
80,0.0,-0.7278738,-0.7390068,5.846387,-0.35020268,-0.42404723,-1.0862713e+08,,470
81,0.0,-0.7204546,-0.3877089,9.050826,1.272187,1.1837624,-1.0819032e+08,,469
82,0.0,0.12932965,-0.6944879,6.20671,0.8582696,0.08869074,-1.0746185e+08,,468
83,0.0,0.17974906,-0.720562,5.994043,-0.7993737,2.5428278,-1.0585266e+08,,467
84,0.0,-0.2599709,-0.5257622,10.401023,1.517541,0.4065093,-1.041935e+08,-3.47365e+08,466
85,0.0,-0.8537424,-0.7275027,5.9382086,-0.33375865,0.010327445,-1.011111e+08,,465
86,0.0,0.4254047,-0.6007853,7.0089536,1.8441228,2.3977919,-9.955717e+07,,464
87,0.0,-0.22318798,-0.24707301,11.360875,2.5774326,1.5296962,-9.4322216e+07,-3.47365e+08,463
88,0.0,0.5744688,-0.571515,7.2716722,2.676962,1.3857019,-9.27741e+07,,462
89,0.0,-0.051504645,-0.42600352,8.662002,1.6969317,1.3942478,-8.937003e+07,,461
90,0.0,-0.9832524,-0.091424465,12.364771,2.0220492,0.34771958,-8.8517656e+07,,460
91,0.0,0.42151627,-0.56052953,7.3717527,1.9870733,0.17792961,-8.728919e+07,,459
92,0.0,0.07990435,-0.31417426,9.823557,2.5506666,0.8903211,-8.425578e+07,,458
93,0.0,-0.069709435,-0.33988512,9.549514,2.0410457,0.6062865,-8.327949e+07,,457
94,0.0,-0.030583758,-0.4483771,8.439204,1.5611409,1.7693447,-8.287199e+07,,456
95,0.0,0.17634933,-0.38544014,5.702758,1.4672275,0.30900317,-8.25348e+07,-3.47365e+08,455
96,0.0,0.2555806,-0.7012478,6.1511316,0.85127324,0.19278216,-8.228412e+07,,454
97,0.0,-0.4177986,-0.01997332,9.770711,2.3045418,-0.44535303,-8.091657e+07,-3.47365e+08,453
98,0.0,0.41597486,-0.5129109,7.814849,2.208796,1.2811465,-7.9713816e+07,,452
99,0.0,-0.10062576,-0.46194974,8.305628,1.3746738,-0.5092405,-7.953328e+07,,451
100,0.0,0.834511,-0.7406821,5.833091,3.0965161,0.6007247,-7.947638e+07,,500
101,0.0,-0.86331517,-0.32747465,13.434641,1.6324809,0.046123005,-7.869203e+07,-3.47365e+08,499
102,0.0,0.13460445,-0.6105059,5.632057,-0.8490704,0.27267763,-7.7740664e+07,-7.953328e+07,498
103,0.0,-0.6704303,-0.52990943,7.6549487,0.7154347,2.8092933,-7.625527e+07,,497
104,0.0,0.24662542,-0.51501423,7.79496,1.6171522,2.5580943,-7.2099304e+07,,496
105,0.0,-0.36381164,-0.8286032,5.162013,-0.20714203,1.5765296,-7.050306e+07,,495
106,0.0,-0.11843328,-0.45313215,8.392271,1.2609928,1.1659329,-6.5509476e+07,,494
107,0.0,-0.5516788,-0.3605182,9.332588,1.1661165,0.25204435,-6.3803004e+07,,493
108,0.0,0.06287777,-0.6155071,5.9056926,0.73452854,-0.628196,-6.3659476e+07,-3.47365e+08,492
109,0.0,-0.48468754,-0.26074964,10.406061,1.5689971,3.1897657,-6.3602744e+07,,491
110,0.0,-0.23785518,-0.23746575,10.665377,1.9742087,-0.5138438,-6.271731e+07,,490
111,0.0,-0.27874613,-0.37953717,9.135012,1.3283572,-0.6520895,-6.2355744e+07,,489
112,0.0,-0.9330098,0.0017448467,13.511833,2.0527644,2.138476,-5.9668828e+07,,488
113,0.0,0.35668305,-0.3306553,9.647417,2.9148405,-0.95690936,-5.8527624e+07,,487
114,0.0,0.7129973,-0.5693712,7.291138,3.1442766,0.8073817,-5.733386e+07,,486
115,0.0,-0.2587132,-0.3661906,13.658715,1.9723347,0.57674485,-5.708376e+07,-7.953328e+07,485
116,0.0,-0.6063527,-0.35313767,9.409877,1.0767509,-0.77947295,-5.6083572e+07,,484
117,0.0,0.8435705,-0.9708188,5.799151,0.3048472,1.6228205,-5.4706696e+07,-7.953328e+07,483
118,0.0,-0.10700902,-0.5399067,12.934089,1.4875104,1.7615155,-5.308422e+07,-7.953328e+07,482
119,0.0,-0.7395178,-0.33744752,9.575318,1.0001743,2.740706,-5.210066e+07,,481
120,0.0,-0.14044386,-0.343873,9.50738,1.493696,2.6977372,-5.175076e+07,,480
121,0.0,-0.43076026,-0.12858404,11.920689,1.9774672,2.2486534,-5.150576e+07,,479
122,0.0,0.023673682,-0.36283106,9.30844,1.6498938,0.3791311,-5.1207212e+07,,478
123,0.0,0.71106565,-0.4955609,7.9800234,3.7070131,1.8332164,-4.9222976e+07,,477
124,0.0,-0.5924161,-0.7137224,4.787711,0.22778855,0.5652091,-4.835221e+07,-3.47365e+08,476
125,0.0,-0.12089304,-0.3790941,9.139588,1.3299518,1.763212,-4.7888584e+07,,475
126,0.0,0.5183931,-0.6827462,6.3039846,1.0903201,0.7517686,-4.777984e+07,,474
127,0.0,0.560772,-0.47604507,8.168181,2.5482588,0.8727069,-4.7490024e+07,,473
