,,theta_1,theta_2,sigma,mu,logL,logL_birth,nlive
labels,,$\theta_1$,$\theta_2$,$\sigma$,$\mu$,$\ln\mathcal{L}$,$\ln\mathcal{L}_\mathrm{birth}$,$n_\mathrm{live}$
,weights,,,,,,,
70,0.0,-1.3782104,0.5089738,20.499163,6.42462,-5.812432e+08,,980
71,0.0,-0.28157198,-0.23379809,10.706521,-12.405231,-5.808432e+08,,979
72,0.0,-0.5604659,-0.2712994,10.289648,-3.9591506,-5.2217776e+08,,978
73,0.0,-0.3041507,-0.49637735,7.972206,3.561595,-5.0083418e+08,,977
74,0.0,-0.0703957,-0.50800955,7.861309,-7.3475976,-4.9761197e+08,,976
75,0.0,-0.7425763,-0.14733647,11.699566,-2.8090694,-4.700293e+08,,975
76,0.0,-1.0262285,0.19071746,15.977251,5.6651564,-4.6823066e+08,,974
77,0.0,-0.4848048,0.016361134,13.696028,15.561006,-4.6539565e+08,,973
78,0.0,-1.620091,0.84781694,25.730015,-12.455584,-4.6224685e+08,,972
79,0.0,-0.13552691,-0.2876923,10.1101055,12.19441,-4.4487242e+08,,971
80,0.0,-0.6452083,-0.18430993,11.269535,-4.047084,-4.4392144e+08,,970
81,0.0,-0.33865866,-0.36275285,9.309256,5.736928,-4.2977664e+08,,969
82,0.0,0.21375035,-0.640451,5.1435585,6.022741,-4.234199e+08,-1.1908009e+09,968
83,0.0,-0.8951117,0.019671109,15.445818,-3.8964877,-4.090118e+08,-1.1908009e+09,967
84,0.0,-0.6226852,-0.108585365,12.158717,6.454884,-3.943738e+08,,966
85,0.0,-0.09001306,-0.5809784,7.1861057,4.674992,-3.9413632e+08,,965
86,0.0,-1.5618134,0.6391952,22.464314,3.4228292,-3.9103526e+08,,964
87,0.0,-0.5813067,-0.12141349,12.005774,-7.0070524,-3.8998013e+08,,963
88,0.0,-0.12931082,-0.41735238,8.749019,-7.5666203,-3.6907763e+08,,962
89,0.0,0.2356247,-0.4735998,4.196145,-6.0139294,-3.6022506e+08,-1.1908009e+09,961
90,0.0,0.03226278,-0.58416086,3.476773,2.8869758,-3.4770074e+08,-1.1908009e+09,960
91,0.0,0.09545704,-0.52462214,7.70448,-8.044048,-3.39794e+08,,959
92,0.0,0.06782201,-0.7184755,6.01089,3.761907,-3.233961e+08,,958
93,0.0,0.19155647,-0.64978033,6.582082,6.3482347,-3.214659e+08,,957
94,0.0,-0.71351624,-0.010271217,13.361255,-6.5712376,-3.209028e+08,,956
95,0.0,-1.0449665,0.13211375,15.193676,2.3521519,-3.123371e+08,,955
96,0.0,-0.14564416,-0.684197,6.291914,-1.8876994,-3.0776234e+08,,954
97,0.0,-0.92443943,0.2595069,16.917625,-9.719111,-2.9908598e+08,,953
98,0.0,-0.031878248,-0.6711517,6.400956,3.198216,-2.8452384e+08,,952
99,0.0,-0.005980112,-0.802496,5.355807,-1.6977385,-2.7165802e+08,,951
100,0.0,0.050676595,-0.5925219,7.0825415,-5.2374167,-2.6385702e+08,,1000
101,0.0,0.27281368,-0.54089785,7.552604,-8.852869,-2.6103325e+08,,999
102,0.0,0.117490605,-0.62959266,4.562793,-3.5310464,-2.5493366e+08,-2.7165802e+08,998
103,0.0,-0.03362575,-0.52061063,7.7421827,-5.413257,-2.4924056e+08,,997
104,0.0,-0.10887219,-0.5845717,5.7186003,-2.752522,-2.481942e+08,-1.1908009e+09,996
105,0.0,-0.06642505,-0.36610833,9.274279,8.056694,-2.3826077e+08,,995
106,0.0,-0.78393847,-0.03444378,13.060682,3.6375184,-2.363094e+08,,994
107,0.0,-0.24994054,-0.3956031,8.969905,4.7969265,-2.3017146e+08,,993
108,0.0,-1.5921651,0.8486738,26.511427,-9.903531,-2.1701253e+08,-1.1908009e+09,992
109,0.0,0.33607614,-0.62624145,6.7851486,6.8834467,-2.077471e+08,,991
110,0.0,-0.80053073,0.06692713,14.341878,5.404847,-2.026735e+08,,990
111,0.0,0.2596577,-0.38957155,9.031697,-10.898064,-1.9609293e+08,,989
112,0.0,-0.5890032,-0.23637569,10.677596,-2.6105826,-1.9602987e+08,,988
113,0.0,-0.15889002,-0.36091682,9.328423,-6.220929,-1.9578957e+08,,987
114,0.0,-0.19112417,-0.3382429,9.566895,6.204852,-1.9278222e+08,,986
115,0.0,-0.28261083,-0.33289948,9.623564,5.0711856,-1.9025238e+08,,985
116,0.0,0.08565886,-0.47572112,8.171326,-6.816433,-1.9016117e+08,,984
117,0.0,-0.2853477,-0.40972805,8.826105,-3.6748984,-1.8808062e+08,,983
118,0.0,-1.2037432,0.32844353,17.621042,2.8968554,-1.7484589e+08,-2.7165802e+08,982
119,0.0,-0.9046933,0.36938885,18.463493,11.175424,-1.7312554e+08,,981
120,0.0,-0.97526944,0.022358853,13.771938,-0.8650547,-1.6941811e+08,,980
121,0.0,0.13496345,-0.46457443,8.279936,6.9913106,-1.6141082e+08,,979
122,0.0,0.37535322,-0.30457532,5.985142,-8.042433,-1.6077995e+08,-2.7165802e+08,978
123,0.0,-0.8684616,-0.015398684,13.297235,-1.9578855,-1.597761e+08,,977
124,0.0,-0.48548752,-0.14480978,11.729241,-5.392348,-1.568331e+08,,976
125,0.0,-0.29958466,-0.28479964,10.141668,5.229749,-1.5613142e+08,,975
126,0.0,0.2590625,-0.45194045,8.404018,8.39217,-1.5595962e+08,,974
127,0.0,-1.3471614,0.4573399,19.737215,2.618917,-1.4614667e+08,,973
128,0.0,-0.12024066,-0.61955297,5.2593017,1.614148,-1.395373e+08,-1.1908009e+09,972
129,0.0,-0.71133745,0.03412311,13.921379,-5.2484827,-1.3840886e+08,,971
130,0.0,-0.62227756,-0.09362386,12.338271,-4.0695944,-1.3634101e+08,,970
131,0.0,-0.5154544,-0.0011354162,13.475668,-7.385485,-1.3083704e+08,,969
132,0.0,-0.19846079,-0.7190326,6.006389,0.57381374,-1.2761194e+08,,968
133,0.0,-0.8547138,0.05442231,14.180932,3.167712,-1.2615185e+08,,967
134,0.0,-1.1839386,0.33873636,18.027033,3.1109662,-1.2552545e+08,,966
135,0.0,-0.38827622,-0.14655203,11.708775,-5.9637,-1.2186587e+08,,965
136,0.0,-0.081371486,0.0065906635,14.58446,-14.591374,-1.1944245e+08,-2.7165802e+08,964
137,0.0,-0.64222634,0.2014338,16.122305,-9.691149,-1.1788104e+08,,963
138,0.0,-1.312961,0.46448767,19.842083,3.2358272,-1.1729336e+08,,962
139,0.0,-0.48468754,-0.26074964,10.406061,2.844986,-1.1621591e+08,,961
140,0.0,0.27023232,-0.6622093,6.476369,4.185479,-1.1472702e+08,,960
141,0.0,0.068724126,-0.18478289,11.264086,-10.493969,-1.1336197e+08,,959
142,0.0,-0.36388218,-0.30964214,9.87229,-3.3627799,-1.10048024e+08,,958
143,0.0,0.31641072,-0.4623733,8.301478,7.3101726,-1.0835337e+08,,957
144,0.0,0.07990435,-0.31417426,9.823557,7.7533326,-1.08276776e+08,,956
145,0.0,-0.75404173,-0.15683016,8.620584,-0.80473685,-1.0741487e+08,-2.7165802e+08,955
146,0.0,-1.1524185,0.33338004,17.951174,-3.3402078,-1.070088e+08,,954
147,0.0,-0.071919605,-0.23102063,9.413559,-6.697159,-1.0614669e+08,-1.1908009e+09,953
148,0.0,-0.1062799,-0.1630738,11.515558,8.52195,-1.0460044e+08,,952
149,0.0,0.33435914,-0.42832255,8.638759,7.898736,-1.0384424e+08,,951
150,0.0,-0.29739177,-0.22657056,10.787838,-5.142095,-1.0187292e+08,,1000
151,0.0,-0.6778006,0.2748671,17.130545,-10.190498,-1.0135065e+08,,999
152,0.0,-0.38637295,0.02380938,13.790326,-8.716587,-1.00278136e+08,,998
153,0.0,-0.5516788,-0.3605182,9.332588,0.8305823,-9.9692056e+07,,997
154,0.0,-0.5975915,0.1312921,15.182809,8.0033655,-9.945646e+07,,996
155,0.0,-0.32524526,-0.1627506,11.272047,-5.702217,-9.929672e+07,-2.7165802e+08,995
