,,phi_1,theta_1,theta_2,theta_3,sigma,mu,init_y_1,logL,logL_birth,nlive
labels,,$\phi_1$,$\theta_1$,$\theta_2$,$\theta_3$,$\sigma$,$\mu$,$y_1$,$\ln\mathcal{L}$,$\ln\mathcal{L}_\mathrm{birth}$,$n_\mathrm{live}$
,weights,,,,,,,,,,
48,0.0,-0.14564416,-0.684197,-0.26127273,-0.0069898237,6.291914,-1.8876994,4.766293,-4.874632e+09,,952
49,0.0,0.89568204,-1.1314013,0.6541181,-0.4829878,3.246499,-8.88347,1.2883705,-4.67956e+09,,951
50,0.0,-0.86363417,-0.26471555,-0.72116643,0.09241098,10.362219,4.093247,-7.4589014,-4.6657705e+09,,1000
51,0.0,-0.52092105,-1.1736094,0.99307245,-0.54650414,3.0265532,3.6085773,4.283637,-4.4550236e+09,,999
52,0.0,-0.49294898,-0.7411878,-0.706396,0.82392037,5.8290815,-9.328714,0.91475236,-4.1310866e+09,,998
53,0.0,0.27253765,-1.3758401,0.9994502,-0.457704,2.120636,3.0373182,4.2101307,-3.9730977e+09,,997
54,0.0,-0.29188183,-0.101858385,-0.2071408,-0.6697828,12.239293,-1.5355585,-4.588473,-3.8221601e+09,,996
55,0.0,0.6733412,-1.0502981,0.0035425143,0.107437074,3.7006717,-4.2380285,6.046931,-3.6834534e+09,,995
56,0.0,-0.30187565,-0.4682087,-0.6955524,0.28802103,8.244435,-4.7515516,0.81922024,-3.6214917e+09,,994
57,0.0,-0.5386903,-1.0736262,0.51244587,-0.34172758,3.5657287,-1.3356014,-8.315985,-3.434585e+09,,993
58,0.0,0.28699306,-0.9594963,-0.5466631,0.5759454,4.2596903,-2.357745,-1.0231476,-3.2161682e+09,,992
59,0.0,-0.1463554,-0.683496,0.58724535,-0.8141127,6.297745,-2.7780786,0.7616543,-3.0087496e+09,,991
60,0.0,-0.39907205,-0.94563144,-0.23842329,0.4513248,4.349835,4.47862,14.153023,-2.9558543e+09,,990
61,0.0,-0.3461802,-0.5785534,0.5971049,-0.76226604,7.2079744,-7.3312435,-9.024462,-2.846425e+09,,989
62,0.0,0.61185837,-0.9677613,0.9292706,-0.9105089,4.2065625,3.0479155,8.462271,-2.7723384e+09,,988
63,0.0,-0.82658577,-0.69083285,-0.767715,0.7639458,6.23689,-5.276137,2.452557,-2.6196063e+09,,987
64,0.0,-0.6626893,-0.98658,-0.21724851,0.6237442,4.0872793,-5.0603843,8.497924,-2.4706143e+09,,986
65,0.0,-0.3331013,-0.46638727,-0.37467974,-0.008875994,8.262217,-4.631289,6.8304777,-2.46364e+09,,985
66,0.0,0.40429154,-0.27977702,-0.17088203,-0.4966045,10.196592,-4.698725,-2.331272,-2.3989842e+09,,984
67,0.0,-0.40633023,-0.5699923,-0.5411299,0.60198176,7.2854967,12.223328,-1.0855833,-2.363626e+09,,983
68,0.0,0.19596042,-0.44301364,-0.67834055,0.20611802,8.492319,4.410705,-0.14356929,-2.3597985e+09,,982
69,0.0,0.40782842,-0.7388692,0.9012735,-0.33727777,0.46207422,-3.0858428,-6.21004,-2.359062e+09,-4.67956e+09,981
70,0.0,0.31646162,-0.9158386,0.27457973,-0.20276946,4.5478716,-4.829327,-5.778149,-2.1685304e+09,,980
71,0.0,0.20384705,-0.79592836,-0.8362195,0.7194168,5.4052854,2.7129889,1.1288346,-2.1162688e+09,,979
72,0.0,0.14219172,-0.55402404,0.32702583,-0.7515298,6.6204495,0.8905656,-7.509071,-2.024944e+09,-4.67956e+09,978
73,0.0,0.33429027,-1.3994874,0.9705526,-0.3168281,2.029857,-3.4497712,2.319989,-2.0095319e+09,,977
74,0.0,-0.9051668,-1.1273383,0.026216775,0.5636099,3.2682583,3.4724197,4.876678,-1.9617879e+09,,976
75,0.0,0.47114542,-0.15698387,-0.23261379,-0.5583459,11.586594,-5.3265185,2.9698703,-1.8964e+09,,975
76,0.0,-0.49449494,-1.0345348,0.07757954,0.45498437,3.793849,-5.3590784,-4.511326,-1.8403817e+09,,974
77,0.0,-0.29788586,-1.0999299,0.1718674,0.28242224,3.41776,-3.8852437,1.7299483,-1.7734938e+09,,973
78,0.0,0.085630074,-1.1156656,0.78553236,-0.6439666,3.3313475,-0.41662514,11.506694,-1.6030712e+09,,972
79,0.0,-0.40909576,-0.9882303,0.41056424,0.044214647,4.076931,5.339025,-1.1124454,-1.5983131e+09,,971
80,0.0,-0.11452288,-0.8357491,-0.09891522,0.16620675,5.109775,4.1725574,-0.8048571,-1.5658044e+09,,970
81,0.0,-0.36178765,-1.0043277,0.2917585,0.30811659,3.9769258,6.6241684,-14.031658,-1.4895332e+09,,969
82,0.0,-0.8943019,-0.79566675,-0.14506917,0.47704473,5.4072623,5.797061,0.058177657,-1.4684104e+09,,968
83,0.0,-0.069709435,-0.33988512,-0.67699957,0.16956246,9.549514,5.2052283,-1.9685674,-1.4498182e+09,,967
84,0.0,-0.052245803,-0.3134498,0.18230572,-0.80293447,9.831338,-2.4416294,2.4508755,-1.411903e+09,,966
85,0.0,-0.114652514,0.23407249,-0.86102134,-0.28835106,16.567394,4.7499905,4.2361627,-1.3161569e+09,,965
86,0.0,-0.35591808,-0.9565048,0.92091966,-0.22891869,4.279032,-8.271739,-3.9426,-1.2982881e+09,,964
87,0.0,-0.87044865,-0.8747023,-0.13867868,0.42293695,4.831083,-3.7265148,0.6118021,-1.2696306e+09,,963
88,0.0,-0.18632692,-0.17868672,-0.22425985,-0.37741086,11.334425,-7.4934874,0.81944585,-1.2663965e+09,,962
89,0.0,-0.7664592,-0.054716334,-0.7906079,0.08470818,12.811046,5.758943,10.180701,-1.0985107e+09,,961
90,0.0,0.20150393,0.60107255,-0.95201415,-0.57487464,21.882797,-7.1459756,-10.024994,-1.0908497e+09,,960
91,0.0,-0.6373415,-0.49872234,-0.66489655,0.31507522,7.949779,-2.3586547,2.8562672,-1.0313796e+09,,959
92,0.0,-0.0334643,-1.253385,0.2690607,0.37083137,2.6406126,3.124727,-2.1182792,-1.0266842e+09,,958
93,0.0,0.21165471,0.11248277,-0.5034558,-0.5130145,14.934926,-6.025105,-0.18636335,-1.0238328e+09,,957
94,0.0,-0.7530468,-0.76817393,0.8054578,-0.0065042414,5.6176143,10.17136,1.8497356,-9.7129984e+08,,956
95,0.0,0.524886,-1.2125435,1.1292466,-0.6821499,2.8333983,-4.3294125,-2.1627703,-9.660266e+08,,955
96,0.0,-0.057436224,-0.7082932,-0.1857906,0.1772406,6.093535,4.9843407,0.36581856,-9.468712e+08,,954
97,0.0,0.4202459,-0.9045791,0.5124026,-0.36174712,4.6242604,-5.964795,2.8690214,-9.29458e+08,,953
98,0.0,-0.13306318,-1.049739,0.11061496,0.5187188,3.703949,5.697681,-2.3874145,-9.282468e+08,,952
99,0.0,0.3768098,-0.13942997,-0.05773643,-0.75469244,11.792551,2.9684854,-6.078294,-8.930491e+08,,951
100,0.0,0.15016373,-0.6974158,0.21388598,-0.07672375,6.1825986,9.446526,3.1593199,-8.874697e+08,,1000
101,0.0,0.9537451,-0.8318913,-0.5612146,0.47340786,0.5618494,2.6796222,6.076789,-8.8539757e+08,-4.67956e+09,999
102,0.0,-0.90894693,-0.49448752,-0.5730623,0.5599329,7.9903073,-5.9395175,-1.1098404,-8.485624e+08,,998
103,0.0,0.54761344,-0.109438755,-0.897729,0.1071762,12.148515,7.8705707,-6.0833526,-8.265805e+08,,997
104,0.0,-0.76999265,-0.4252371,-0.25885752,-0.10243481,8.669692,-2.9989138,2.3479352,-8.2421997e+08,,996
105,0.0,-0.039801616,-0.9778974,0.4685153,0.009947138,4.142024,-5.6505394,-3.8886027,-8.203545e+08,,995
106,0.0,-0.19332275,0.14590342,-0.4495913,-0.44691086,15.376563,-9.058906,-1.36339,-7.879806e+08,,994
107,0.0,0.2048051,-0.0083638085,-0.2968015,-0.561852,13.385106,6.3863187,5.41223,-7.8280474e+08,,993
108,0.0,-0.23943055,-0.3744554,-0.05403493,-0.4421192,9.187578,2.7115867,3.9425588,-7.7619315e+08,,992
109,0.0,0.2280223,0.14439958,-0.09398252,-0.9503061,15.356573,5.7522693,0.7717361,-7.685571e+08,,991
110,0.0,-0.14449212,-1.0491745,0.25750822,-0.031919807,3.707259,1.5390007,-0.79674405,-7.319468e+08,,990
111,0.0,0.47312194,-0.18917747,-0.11493013,-0.6630165,11.213516,2.1165836,-1.844808,-7.12773e+08,,989
112,0.0,-0.59985936,-1.1278286,1.0648552,-0.25422072,3.2656267,3.6477873,-5.499284,-7.0216064e+08,,988
