,,theta_1,theta_2,theta_3,theta_4,sigma,mu,logL,logL_birth,nlive
labels,,$\theta_1$,$\theta_2$,$\theta_3$,$\theta_4$,$\sigma$,$\mu$,$\ln\mathcal{L}$,$\ln\mathcal{L}_\mathrm{birth}$,$n_\mathrm{live}$
,weights,,,,,,,,,
57,0.0,-0.03844516,-0.5441118,-0.65251076,0.4863929,7.5228195,-2.5256608,-2180.8647,,493
58,0.0,-1.618314,1.7655411,-1.0251282,0.26163778,41.339573,-0.26668453,-2178.0115,,492
59,0.0,0.018019496,0.012237385,0.042291183,-0.8461887,13.643947,5.715184,-2177.3674,,491
60,0.0,0.6752343,1.7037032,0.6379612,0.915786,40.24038,1.9039661,-2163.884,,490
61,0.0,-0.21007527,1.6628461,-0.23779772,0.90566754,39.517082,3.1419854,-2155.4795,,489
62,0.0,0.8463065,1.5660152,0.6031817,0.56051004,37.812847,1.3334048,-2134.6956,,488
63,0.0,1.6863165,1.5631944,1.4901272,0.735794,37.763412,6.516934,-2134.2449,,487
64,0.0,-0.36986986,-0.061570153,-0.118846156,0.007299552,12.727155,9.556414,-2128.2021,,486
65,0.0,1.0933521,1.536035,0.701196,0.4963944,37.288155,1.959753,-2128.1487,,485
66,0.0,0.3292924,-0.51510805,-0.7565187,0.27338034,7.794073,-3.527934,-2103.92,,484
67,0.0,-0.21781519,1.3739649,-0.16431877,0.61189014,34.47802,0.9520013,-2091.3933,,483
68,0.0,0.69524056,1.3341641,0.6063615,0.6152941,33.795147,4.1654553,-2082.1333,,482
69,0.0,-0.20998272,-0.2218024,-0.22383852,0.05975825,10.841656,7.634121,-2081.3503,,481
70,0.0,-0.3821663,0.033169955,0.5543122,-0.7650939,13.909245,-7.186356,-2079.2026,,480
71,0.0,-1.2688689,1.2872689,-1.0689156,0.58087426,32.994465,2.516929,-2072.537,,479
72,0.0,-0.23955661,1.2847576,-0.31040838,0.71485835,32.951706,7.18538,-2071.5964,,478
73,0.0,0.3904216,-0.8720966,-0.3649053,-0.026395082,4.8494062,2.2459009,-2067.8057,,477
74,0.0,1.2744073,1.2709118,0.7085128,-0.10198183,32.71621,0.83908254,-2066.794,,476
75,0.0,1.7562877,1.2446911,0.08859477,-0.13710882,32.271294,-8.215722,-2061.8906,,475
76,0.0,-0.264706,-0.22121075,0.25491256,-0.29846784,10.848343,8.559148,-2058.8513,,474
77,0.0,0.98521125,1.2340572,0.27182448,0.17098498,32.09126,2.1978068,-2057.7766,,473
78,0.0,-1.0359248,1.1937615,-0.9714189,0.14686207,31.41121,3.0377464,-2056.519,,472
79,0.0,-0.5818839,1.204831,-0.18596724,0.39246014,31.597681,5.6685863,-2052.0732,,471
80,0.0,0.8467734,1.1950262,0.8085562,0.8541458,31.432497,9.599245,-2048.9207,,470
81,0.0,0.5190032,1.182425,0.5679878,0.86439484,31.220516,-1.796185,-2044.9877,,469
82,0.0,-1.0631801,0.2764572,-0.58094233,0.71045667,17.152649,-5.1810126,-2037.0858,,468
83,0.0,0.31299928,1.1497047,0.07015231,0.46994308,30.671701,4.8142886,-2036.9468,,467
84,0.0,-0.9186848,1.0666019,-0.30946094,0.40029955,29.288734,8.846756,-2026.1385,,466
85,0.0,-0.9391667,1.1083295,-0.3053859,-0.025523448,29.981153,0.13738082,-2026.1279,,465
86,0.0,-0.7140092,1.098274,-0.589956,0.64834446,29.813915,-3.387806,-2025.7054,,464
87,0.0,-0.3562654,0.13677417,-0.13388413,-0.10055637,15.255383,10.654888,-2022.0676,,463
88,0.0,-1.7403373,0.92742884,0.15285477,-0.25037587,27.010319,2.0290275,-2018.6686,,462
89,0.0,0.25979897,1.0791093,0.4839109,0.57662696,29.495848,-0.42676008,-2018.256,,461
90,0.0,-0.5065068,0.6640788,-0.4794718,-0.21817076,22.846548,8.541985,-2017.8518,,460
91,0.0,0.103758246,1.0454434,-0.076420166,0.6782633,28.939224,-6.2930384,-2011.306,,459
92,0.0,-0.7658532,0.58389294,-0.44668198,0.22549362,23.693819,9.624626,-2002.7019,-2345.3108,458
93,0.0,0.48928976,1.0088915,0.050616756,0.5664931,28.33801,-7.7428536,-2002.5494,,457
94,0.0,1.235259,1.0029854,0.43850213,-0.041593585,28.241177,-0.57154787,-1997.8651,,456
95,0.0,-0.09871554,1.0025522,-0.1235908,0.88760066,28.234074,-0.38917089,-1997.7758,,455
96,0.0,0.4634119,0.9914328,0.526678,0.80132496,28.052021,-1.6547116,-1994.8204,,454
97,0.0,-0.21894746,0.99050707,-0.16671681,0.3482449,28.036879,-1.1240711,-1994.7614,,453
98,0.0,0.33175743,-0.025762875,-0.2741514,-0.8754968,13.1682625,3.637277,-1992.1771,,452
99,0.0,-0.59011924,0.9776383,-0.24369255,0.3572712,27.826607,3.2556615,-1991.5657,,451
100,0.0,-0.3242276,0.9758825,-0.25274977,0.8788309,27.797949,-3.2373931,-1991.5322,,500
101,0.0,0.46469808,-0.22911225,-0.9240564,-0.13349973,10.759207,3.713271,-1987.1077,,499
102,0.0,0.5479739,0.95951885,0.103806615,0.4494778,27.531261,1.0181578,-1985.8682,,498
103,0.0,0.688891,0.95811015,0.28453496,0.4294631,27.508339,-0.54387563,-1985.5448,,497
104,0.0,0.7729233,0.9532125,0.32934067,0.097703524,27.428673,-4.182123,-1984.9795,,496
105,0.0,1.3072897,0.9535499,0.635778,0.46625718,27.434158,2.9611986,-1984.2782,,495
106,0.0,-0.6300959,0.4687454,0.37559846,-0.07501049,25.4472,11.479632,-1979.9932,-2345.3108,494
107,0.0,-0.34341967,0.9016626,-0.15935121,0.4860946,26.59403,-9.382121,-1979.8497,,493
108,0.0,-0.30851692,0.9190573,-0.5268241,0.1477955,26.87487,-3.9129806,-1979.7755,,492
109,0.0,0.53514415,0.9349119,0.8110712,0.34589955,27.131554,3.6325972,-1979.4026,,491
110,0.0,0.33243158,0.9355084,-0.16087969,0.12866405,27.14122,-0.32322043,-1979.293,,490
111,0.0,-0.8623386,0.911086,-0.31628898,0.36289215,26.74607,4.2854643,-1975.2821,,489
112,0.0,-0.57730126,0.5245976,0.08825609,-0.3617452,20.731707,-8.8812475,-1969.8109,,488
113,0.0,-0.8441738,0.5616964,-0.9564152,0.75548697,21.287481,8.31745,-1969.7589,,487
114,0.0,-0.21935792,-0.2779997,0.13553311,-0.24875131,10.216064,6.51865,-1966.5763,,486
115,0.0,0.11606285,0.882508,-0.1580918,0.6888637,26.285744,2.5099967,-1964.2867,,485
116,0.0,-0.34898457,0.45956942,-0.7227195,-0.10930678,19.769901,-3.1344638,-1959.4559,,484
117,0.0,-0.118146226,-0.83864015,0.22077183,0.76788193,5.088739,-8.1048565,-1957.7263,,483
118,0.0,-0.5185043,0.63557285,-0.37806845,-0.16580881,22.408844,7.9061213,-1956.6683,,482
119,0.0,-1.1238284,0.7309579,-0.050365582,-0.2275867,23.883957,4.113376,-1955.7051,,481
120,0.0,0.43052012,0.8435921,0.5143911,0.1467334,25.662567,-4.5424256,-1954.21,,480
121,0.0,-0.15500964,0.8331534,-0.4314341,-0.043430556,25.496147,-0.7615941,-1950.6659,,479
122,0.0,-0.12897092,0.81239766,-0.15406132,0.13831198,25.16618,-4.4318676,-1947.7035,,478
123,0.0,0.7076833,0.81084913,0.13147415,0.3213729,25.141611,-7.344704,-1946.2754,,477
124,0.0,-0.7237014,0.81312025,-0.7544139,0.24711923,25.177643,2.0669584,-1945.1959,,476
125,0.0,1.2827938,0.7043571,0.2823767,0.3769969,24.896683,-11.8662405,-1944.1005,-2345.3108,475
126,0.0,-0.7971921,0.4895836,-0.56455755,0.40254942,23.548868,-3.5251667,-1943.422,-1991.5657,474
127,0.0,-0.71980095,0.7840321,-0.2944865,-0.2506253,24.717293,-0.5901726,-1938.8801,,473
128,0.0,0.07311487,0.7939273,0.10178434,0.26941517,24.87361,-0.8805856,-1938.529,,472
129,0.0,0.36572,0.78504837,-0.005631392,0.26668322,24.733334,7.5099144,-1938.4371,,471
130,0.0,-0.059283946,0.7918377,-0.03832435,-0.13503958,24.840576,1.939385,-1937.7748,,470
131,0.0,-0.03943259,0.75742066,-0.28155923,0.24564506,24.29837,9.46639,-1937.4274,,469
132,0.0,0.52468705,0.7878957,0.4523715,0.19885407,24.77829,-2.512451,-1937.004,,468
133,0.0,0.120308064,0.7876805,0.34653312,0.09860789,24.774893,3.9276743,-1936.9979,,467
134,0.0,-0.6247276,0.78050476,-0.62890995,0.82584566,24.661638,-0.85354,-1934.9833,,466
