,,phi_1,theta_1,theta_2,sigma,mu,init_y_1,logL,logL_birth,nlive
labels,,$\phi_1$,$\theta_1$,$\theta_2$,$\sigma$,$\mu$,$y_1$,$\ln\mathcal{L}$,$\ln\mathcal{L}_\mathrm{birth}$,$n_\mathrm{live}$
,weights,,,,,,,,,
54,0.0,-0.46109447,-1.2333373,0.430487,2.7339995,-1.728041,-12.000204,-2.209765e+09,,996
55,0.0,-0.3331013,-0.46638727,-0.37467974,8.262217,-4.631289,6.8304777,-2.201082e+09,,995
56,0.0,0.20730978,-0.82529926,0.22772086,5.1862836,-12.2194,-2.6343849,-2.194056e+09,,994
57,0.0,-0.2133484,-0.5707141,-0.1529045,7.278941,7.6500945,7.1669626,-2.1496228e+09,,993
58,0.0,-0.69662684,-0.79175085,0.23573706,5.4369116,-6.298759,5.4983163,-1.999967e+09,,992
59,0.0,0.6354928,-0.7296769,-0.24273965,5.9207864,-2.0469246,-9.321263,-1.8727662e+09,,991
60,0.0,-0.6925888,-0.43611392,-0.22440448,8.560921,7.360732,12.626035,-1.8557761e+09,,990
61,0.0,-0.25781852,-0.82941943,-0.04661316,5.1560287,-2.148101,-0.17903306,-1.778085e+09,,989
62,0.0,-0.070969954,-0.959897,0.027740683,4.2571044,1.0974331,-0.96130615,-1.6139139e+09,,988
63,0.0,-0.1631834,-0.5076679,-0.23537223,7.864554,-6.890184,-5.904544,-1.5848271e+09,,987
64,0.0,-0.06278389,-0.67094064,0.11397472,6.40273,10.516045,3.9856753,-1.5803739e+09,,986
65,0.0,-0.5670171,-1.4401317,0.7293956,1.8807954,1.3261474,6.4410276,-1.4818144e+09,,985
66,0.0,0.79781884,-0.12047706,-0.8348185,12.016907,10.942216,-13.8073225,-1.4720988e+09,,984
67,0.0,-0.21835434,-0.7783975,-0.045763623,5.538793,-2.9842093,7.738986,-1.401507e+09,,983
68,0.0,-0.36332193,-0.19384003,-0.6993343,11.159987,3.3187237,13.966599,-1.3899058e+09,,982
69,0.0,0.2623985,-0.1928788,-0.76705635,11.382464,-2.445617,-4.5529103,-1.3714106e+09,-3.197771e+09,981
