,,phi_1,phi_2,sigma,mu,init_y_1,init_y_2,logL,logL_birth,nlive
labels,,$\phi_1$,$\phi_2$,$\sigma$,$\mu$,$y_1$,$y_2$,$\ln\mathcal{L}$,$\ln\mathcal{L}_\mathrm{birth}$,$n_\mathrm{live}$
,weights,,,,,,,,,
59,0.0,0.71813846,-0.9925405,4.0499864,88.07677,-18.041391,-44.565018,-119663.24,,991
60,0.0,0.09378639,-0.8336311,5.1252217,-52.03103,-43.26418,67.0607,-118760.67,,990
61,0.0,-0.6901335,-0.5192304,7.75518,94.888695,42.564953,-54.07899,-117144.766,,989
62,0.0,-1.1068721,-0.20368491,11.047381,-92.073875,127.36218,105.78541,-115354.69,,988
63,0.0,-0.8501172,-0.59392,7.07006,-47.529903,-10.213945,2.9879873,-107293.766,,987
64,0.0,-0.88846785,-0.40522575,8.871802,-64.61197,19.323473,-30.669317,-97382.09,,986
65,0.0,-1.6389529,-0.86269087,4.915926,43.94372,-8.42642,-55.428844,-95987.25,,985
66,0.0,-0.3279603,-0.5013889,7.924319,-73.16175,-34.577614,44.373207,-95091.65,,984
67,0.0,-0.78381455,-0.30826682,9.887103,110.94222,-18.561295,-11.958365,-93774.06,,983
68,0.0,-0.10160037,-0.40030554,8.921889,-104.9501,66.65793,-17.310072,-93603.625,,982
69,0.0,-0.02878829,-0.60130477,7.004343,-71.36322,-34.157154,-78.85088,-92586.2,,981
70,0.0,-1.1534716,-0.23047447,10.743876,-75.15986,-5.8747845,35.87586,-92064.164,,980
71,0.0,-0.63695455,-0.71543497,6.0354943,66.80661,56.6857,-37.661995,-92028.93,,979
72,0.0,0.9941724,-0.806601,5.325031,-115.70184,-35.491047,60.027008,-91354.96,,978
73,0.0,-0.81139576,-0.8160493,5.2546244,55.03765,-4.271824,-12.7957735,-90496.43,,977
74,0.0,-0.2951884,-0.61545783,6.879423,-56.41958,-40.582516,11.457645,-90397.94,,976
75,0.0,0.042727843,-0.9410103,4.380164,-29.634037,-93.93685,14.054266,-86263.59,,975
76,0.0,-0.64761037,-0.44938734,8.42922,-62.66915,16.451435,16.026062,-86009.01,,974
77,0.0,-1.2714369,-0.40041363,8.920786,79.81922,-83.024315,66.012184,-85935.46,,973
78,0.0,0.7036933,-0.7930143,5.4273343,-80.950645,94.21505,30.96914,-85295.3,,972
79,0.0,-0.02732323,-0.4006222,8.918661,-104.84715,-8.331387,-55.765133,-84559.28,,971
