,,phi_1,theta_1,theta_2,theta_3,theta_4,theta_5,sigma,mu,init_y_1,logL,logL_birth,nlive
labels,,$\phi_1$,$\theta_1$,$\theta_2$,$\theta_3$,$\theta_4$,$\theta_5$,$\sigma$,$\mu$,$y_1$,$\ln\mathcal{L}$,$\ln\mathcal{L}_\mathrm{birth}$,$n_\mathrm{live}$
,weights,,,,,,,,,,,,
39,0.0,-0.54216176,-0.4955021,-0.0074993144,0.4827214,-0.46069473,-0.2912673,7.980586,-8.633162,6.946356,-3.0023358e+10,,961
40,0.0,-0.3925952,-0.21363576,-0.6637676,0.7671575,-0.14420046,-0.5766557,10.934148,9.574878,-1.8098794,-2.8832158e+10,,960
41,0.0,0.14090785,-1.0813684,-0.027892986,0.17921795,-0.050418843,0.05760608,3.5217156,-2.1877015,-0.20212252,-2.6966243e+10,,959
42,0.0,-0.3994646,-0.17262907,-0.24324284,-0.16757041,-0.10546105,-0.19918615,11.404533,-6.0187273,8.114493,-2.3764322e+10,,958
43,0.0,0.17508101,-1.0233469,-0.06043764,0.30654714,0.27205855,-0.2183008,3.8609602,8.262709,4.3292675,-2.3239487e+10,,957
44,0.0,0.4458362,0.35519373,-0.569069,-0.0040022423,-0.21396746,-0.54753625,18.260878,5.3754272,8.526116,-2.2960888e+10,,956
45,0.0,-0.21243906,-0.06361505,-0.06680239,-0.17304066,-0.18591554,-0.42905208,12.702177,5.5976367,5.2075753,-2.2397889e+10,,955
46,0.0,-0.79667187,-0.37113562,-1.3550564,0.5411381,0.6759251,-0.44807014,9.222009,-1.3748386,-3.8561945,-2.129027e+10,,954
47,0.0,0.24910098,-1.6040308,0.46052077,0.8191805,-0.52876335,-0.044441223,1.3636875,-1.1136221,-0.7743958,-2.0235878e+10,,953
48,0.0,0.42324156,-0.8551208,0.40176588,-0.88428366,0.37254822,-0.018569553,4.969898,0.91605973,-8.919135,-2.022403e+10,,952
49,0.0,-0.80876553,-0.43704474,-0.72633785,-0.38115552,0.79065144,-0.20754014,8.551647,-1.1107683,-3.0674326,-2.0154634e+10,,951
50,0.0,-0.29850098,-1.1908481,0.07639004,0.29856455,-0.20867364,0.1285803,2.9398894,-1.3702972,8.100451,-1.9261827e+10,,1000
51,0.0,-0.81132597,1.035435,-0.590126,-0.96303135,-0.37246698,-0.095200844,28.774273,-1.8846709,5.9615374,-1.8426675e+10,,999
52,0.0,-0.3331032,-0.3885317,-0.3635476,-0.514424,-0.031238472,0.43087718,9.042374,-4.849874,1.8864413,-1.631737e+10,,998
53,0.0,0.17151834,-0.6026504,-0.092804864,0.20457931,0.20066693,-0.6477213,6.9924088,-2.902332,0.45395154,-1.609927e+10,,997
54,0.0,-0.40802318,-0.15410213,-0.22099152,0.22102872,-0.48974434,-0.26007763,11.620282,4.2999773,6.1997037,-1.5681625e+10,,996
55,0.0,-0.4552709,-0.15534474,-0.4628389,-0.51435244,-0.2590769,0.49529523,11.605749,4.370752,-1.5568091,-1.5597515e+10,,995
56,0.0,-0.5095237,-0.28207847,-0.4643038,-0.6826549,-0.09223348,0.5811116,10.171406,2.1099086,8.228185,-1.5221206e+10,,994
57,0.0,-0.15716359,-0.64235747,0.2029023,-0.94568187,0.4807569,0.16668212,6.645714,-7.751826,-3.6904233,-1.5081038e+10,,993
58,0.0,-0.119307496,-0.70053613,0.19716617,-0.5666602,0.7475476,-0.3867117,6.1569686,-8.037166,-6.8146615,-1.4318018e+10,,992
59,0.0,0.6325592,-1.4957129,0.7794156,0.3165697,-0.8749876,0.40468717,1.6907687,3.0000508,-1.265035,-1.4245148e+10,,991
60,0.0,0.21730009,-0.87588525,0.6301601,-0.30860183,-0.108308844,-0.010272413,4.8227797,9.952695,2.6713738,-1.3839136e+10,,990
61,0.0,-0.4722868,-0.5251492,-0.57606405,0.11311668,0.50297713,-0.36443135,7.6995335,-3.8462145,2.0065882,-1.3443076e+10,,989
62,0.0,-0.07617472,-1.0188546,0.25868616,0.076765254,0.19787157,-0.047057383,3.8881376,-7.9115834,3.2439184,-1.2548297e+10,,988
