,,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,sigma,mu,logL,logL_birth,nlive
labels,,$\theta_1$,$\theta_2$,$\theta_3$,$\theta_4$,$\theta_5$,$\theta_6$,$\theta_7$,$\theta_8$,$\theta_9$,$\sigma$,$\mu$,$\ln\mathcal{L}$,$\ln\mathcal{L}_\mathrm{birth}$,$n_\mathrm{live}$
,weights,,,,,,,,,,,,,,
34,0.0,0.22418952,-0.42561653,-0.0003357915,-0.73553294,-0.6685732,0.2444891,-0.14874943,0.28564382,0.36023906,8.665884,-8.330554,-15951.411,,966
35,0.0,-0.4072637,-0.66577864,-0.22336641,0.5077269,0.42413324,-0.41895324,-0.24375595,0.15341018,-0.002662654,6.4462023,6.8943343,-13721.188,,965
36,0.0,-0.97013277,0.115743674,-0.25562432,0.19666167,0.04145257,-0.25190762,0.6127753,-0.5748969,0.19573377,14.977776,-9.958103,-11945.245,,964
37,0.0,-1.389046,-0.18364893,0.6496613,0.2791924,0.20717974,-1.1290407,0.42983997,0.23884155,-0.08619526,11.277152,-0.29101402,-11919.912,,963
38,0.0,0.13455154,-0.6714718,-0.6003602,0.38486162,0.37169224,-0.41242984,-0.061556377,-0.011200281,0.0032631222,6.398267,-4.561245,-10110.365,,962
39,0.0,-0.2323289,-0.3552076,-0.45820746,0.28044438,-0.192418,-0.0002975434,0.3137682,0.028255742,-0.363274,9.3881645,2.5365522,-9646.104,,961
40,0.0,-0.618059,0.22245187,-0.89822227,0.6189188,-0.37084594,0.4790691,-0.31008387,-0.22633542,0.12899941,16.40836,-1.8749074,-9567.28,,960
41,0.0,-0.4991328,-0.029647151,0.03254181,-0.04869257,0.0005340542,-0.4843085,0.15666004,0.40947896,-0.528374,13.120075,-0.5703565,-9307.513,,959
42,0.0,-0.97979814,-0.31329006,-0.042550035,0.29784885,0.35841805,-0.2556203,-0.24875441,0.7489297,-0.48659152,9.8330555,-3.3333004,-8774.034,,958
43,0.0,0.41424868,-0.5523017,-0.6248457,-0.45839,-0.046534784,-0.019255152,0.44977,0.36275202,-0.3886355,7.447236,6.8236165,-8636.583,,957
44,0.0,0.31930035,-0.83352154,-0.029126093,-0.22890581,-0.5598758,0.090829596,0.47092772,0.16770299,-0.093943805,5.1260223,9.759284,-8589.252,,956
45,0.0,0.018042209,-0.35942212,-0.31105217,-0.51119214,0.536388,0.32426146,-0.048522945,-0.2405589,-0.40610304,9.344045,1.9896535,-8490.398,,955
46,0.0,0.14119728,0.26534337,-0.051048353,0.32107052,-0.51016206,0.00031980497,-0.26225486,-0.30328548,-0.57281655,16.998407,-4.204058,-8322.04,,954
47,0.0,-1.3741419,0.6511614,0.020361427,-0.11851846,-0.18185623,-0.30716714,0.73077613,-0.73166555,0.33656782,22.647865,4.1851506,-8172.6865,,953
48,0.0,-0.9063147,-0.66863674,1.026783,-0.28163326,0.096086234,-0.65665895,0.037849933,0.77186346,-0.2801033,6.4221106,-3.793189,-8168.5537,,952
49,0.0,0.10359271,-0.094516784,-0.01943029,-0.21558507,-0.24871063,0.16940817,-0.12764408,-0.38395742,-0.12418609,12.327519,-3.6446033,-7929.8027,,951
50,0.0,0.14147496,-1.095956,-0.6763376,0.7831823,0.6318392,0.17056505,-0.29364437,-0.34029132,-0.018427294,3.4398322,6.484218,-7442.1323,,1000
51,0.0,-0.45042324,-0.44638985,-0.0015618234,0.09914088,0.48509607,0.19681004,-0.4528825,-0.23155752,0.08232641,8.458861,13.028301,-7345.9214,,999
52,0.0,0.05136356,-0.83103645,-0.6411903,0.3299483,-0.2974486,0.6026728,0.622545,0.020301953,-0.65503013,5.144187,-4.352799,-7264.233,,998
53,0.0,-0.07005781,-0.90324014,0.28756386,0.42558205,-0.77428144,-0.29507822,0.29838243,-0.0478965,0.22771381,4.633401,-2.5185053,-7117.131,,997
54,0.0,-0.5271077,-0.119259946,0.34189215,-0.6632801,-0.06746156,0.14445272,-0.6422634,0.4280257,0.18521984,12.0313835,-3.6468627,-6767.9136,,996
55,0.0,-0.5210528,-0.88183135,0.18131232,0.8480023,-0.31055105,-0.4727635,0.35105005,0.22741637,-0.15822099,4.781187,-5.0906215,-6688.954,,995
56,0.0,0.29873753,-0.60536,-0.8487355,-0.48827225,0.65453583,0.6341472,-0.17098428,-0.13134307,-0.22208028,6.121824,-2.5882695,-6424.4814,-7929.8027,994
57,0.0,-0.5278107,-0.31063884,-0.8136309,0.69468933,-0.23475051,0.2902709,-0.4489871,0.6486273,-0.1601375,9.861562,-4.5109468,-5815.5703,,993
58,0.0,-0.5675418,-0.005352595,0.5424406,-0.07025581,-0.4881249,-0.028625075,-0.09613712,0.016852152,-0.22072694,13.422799,6.076419,-5722.0796,,992
59,0.0,-0.3038118,-0.56224567,-0.13608845,0.68145525,-0.29252174,-0.36681557,-0.28323412,0.12307757,0.29131234,7.356065,5.7446065,-5537.6875,,991
60,0.0,0.7578024,0.28908145,0.0018464435,-0.6551349,-0.51610637,-0.270129,-0.41876894,-0.13262154,0.057059553,17.328524,-8.076134,-5517.2754,,990
61,0.0,0.024979884,-0.14405523,-0.6075957,-1.0081668,0.2941874,0.389777,0.27253488,0.36396345,-0.4415074,11.738111,7.852354,-5309.022,,989
62,0.0,0.08871057,-0.3757182,-0.2513497,-0.46374342,0.5785963,0.2900842,-0.34107223,-0.14383572,-0.15317449,9.174501,9.614021,-5221.0435,,988
63,0.0,-0.06425323,-0.13544102,0.32128006,0.007692375,-0.32226282,0.2391957,-0.088692896,-0.87486875,0.03512826,10.590711,6.4552174,-5175.711,-7929.8027,987
64,0.0,0.34864116,-0.46983916,-0.02693493,-0.29846475,-0.35515252,0.02070185,0.15254277,0.05497146,-0.024089599,8.228537,13.916868,-4921.451,,986
65,0.0,0.3312779,-0.4691615,-0.058041435,-0.22351867,-0.05758588,-0.54886657,-0.45116585,0.53476626,0.35660115,8.235143,14.153384,-4887.94,,985
66,0.0,-0.2595151,-0.1639396,0.22487102,0.333756,-0.5145291,-0.22874875,-0.1502346,0.086975545,-0.27522632,11.505476,3.7982965,-4884.333,,984
67,0.0,-0.31950584,-0.53540605,-0.2965773,0.04225619,0.12929861,0.83134943,-0.23931737,-0.18875556,-0.21624818,7.603653,-5.0940237,-4801.7754,,983
68,0.0,-0.8417657,-0.19642511,0.7768007,-0.38489172,0.29227614,-0.5811302,0.066919334,0.30211508,-0.28177622,11.130363,7.321767,-4675.0107,,982
69,0.0,-0.20277248,0.51515394,-0.21181776,0.57387644,-0.5355305,0.048766617,-0.29724997,-0.3595388,-0.42758805,20.591038,-7.6272273,-4659.172,,981
70,0.0,-0.762774,0.46694618,-0.4667841,-0.5516784,0.21454093,-0.4556428,0.3985484,-0.108403526,0.298748,19.8782,3.3392258,-4625.912,,980
71,0.0,0.19083889,0.07684227,0.2044246,-0.19655946,-0.22220819,-0.11105918,-0.47940877,-0.39726973,0.18960781,14.470063,14.487766,-4550.071,,979
72,0.0,-0.48917106,-0.73413706,0.6253687,-0.24530092,-0.2500321,0.5416619,-0.35942024,-0.051227577,0.39240688,5.885146,10.0559025,-4513.8413,,978
73,0.0,0.652488,-0.99437696,-1.2393892,0.326707,0.9008911,0.5988121,-0.07514145,-0.42273226,-0.23301844,4.038543,8.930847,-4478.769,,977
74,0.0,-0.74557865,-0.2361437,0.44058642,0.16079932,-0.24844405,-0.030270156,0.22679973,-0.19401908,-0.07615614,10.680199,12.124998,-4369.518,,976
75,0.0,0.44205907,-1.022071,-0.6859389,-0.066039324,0.26578632,0.8590916,0.06503511,-0.6157233,-0.05631266,3.8686655,-1.723671,-4282.1772,,975
76,0.0,0.28619477,-0.57471323,0.22050911,-0.3000888,-0.053308662,-0.4536163,-0.6201292,0.41457102,0.21696782,7.242687,-2.5707884,-4173.576,,974
77,0.0,-0.5125204,-0.4477695,-0.0753662,0.74165565,-0.04934955,-0.039438568,-0.38351962,-0.03343291,0.07411592,8.445211,-6.98379,-4168.6943,,973
78,0.0,-0.22452492,-0.328662,-0.15123194,-0.005939772,-0.56632763,0.2727963,-0.011877439,0.14728074,0.10926185,9.668631,-6.8259315,-4136.999,,972
79,0.0,-0.64342844,-0.3537035,0.58137727,-0.48329034,0.09684605,0.1780642,-0.6498231,0.44805774,-0.060144562,9.403938,4.639625,-4070.5552,,971
80,0.0,-0.80546135,0.31443092,-0.49382746,0.63236755,-0.1294018,-0.4592156,0.20984206,-0.27210927,0.21312389,17.683788,12.647886,-4041.5525,,970
81,0.0,-0.1568184,-1.3413018,0.5696395,0.27372098,-0.45761678,0.26109916,0.07975116,-0.07445646,0.023016112,2.2587142,-0.4812629,-4001.607,,969
82,0.0,0.045746125,-0.74970424,-0.3261503,0.52331835,-0.013535388,-0.06669398,0.249572,0.26152274,-0.49356887,5.7618113,9.312624,-3855.6484,,968
83,0.0,0.38962263,-0.16274889,-0.1290113,-0.32914743,-0.12200834,-0.24520731,0.114203,0.092131294,-0.46457842,11.519342,-4.5248237,-3822.979,,967
84,0.0,-0.57604426,-0.39821056,0.42420384,0.23567468,-0.42123362,-0.19394019,0.2596126,-0.3858125,0.17454034,8.943263,4.405929,-3725.4797,,966
85,0.0,-0.7522431,-0.18391879,0.18271984,0.18699418,-0.29632345,-0.4106876,0.77327305,-0.017717795,-0.38602558,11.274042,4.371326,-3682.8523,,965
